ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000030.SZ,20230915,5.37,5.42,5.33,5.35,5.36,-0.010000000000000675,-0.1866,54999.51,29503.829
000030.SZ,20230914,5.44,5.45,5.33,5.36,5.45,-0.08999999999999986,-1.6514,58590.0,31440.54
000030.SZ,20230913,5.52,5.56,5.41,5.45,5.53,-0.08000000000000007,-1.4467,63890.8,34965.477
000030.SZ,20230912,5.51,5.57,5.47,5.53,5.53,0.0,0.0,63952.02,35340.398
000030.SZ,20230911,5.39,5.53,5.31,5.53,5.31,0.22000000000000064,4.1431,101467.6,55337.034
000030.SZ,20230908,5.3,5.35,5.28,5.31,5.3,0.009999999999999787,0.1887,43455.0,23100.472
000030.SZ,20230907,5.42,5.42,5.3,5.3,5.42,-0.1200000000000001,-2.214,54212.33,29024.075
000030.SZ,20230906,5.4,5.47,5.36,5.42,5.43,-0.009999999999999787,-0.1842,59697.86,32382.113
000030.SZ,20230905,5.48,5.51,5.38,5.43,5.47,-0.040000000000000036,-0.7313,81773.39,44298.244
000030.SZ,20230904,5.45,5.49,5.4,5.47,5.43,0.040000000000000036,0.7366,86394.24,47039.158
000030.SZ,20230901,5.42,5.46,5.38,5.43,5.43,0.0,0.0,82700.93,44824.737
000030.SZ,20230831,5.45,5.51,5.39,5.43,5.52,-0.08999999999999986,-1.6304,79843.33,43327.695
000030.SZ,20230830,5.4,5.56,5.39,5.52,5.43,0.08999999999999986,1.6575,133693.0,73518.21
000030.SZ,20230829,5.23,5.46,5.2,5.43,5.27,0.16000000000000014,3.0361,129577.11,69455.038
000030.SZ,20230828,5.27,5.4,5.24,5.27,5.1,0.16999999999999993,3.3333,136348.94,72400.83
000030.SZ,20230825,5.14,5.18,5.06,5.1,5.14,-0.040000000000000036,-0.7782,48153.2,24653.31
000030.SZ,20230824,5.26,5.26,5.12,5.14,5.21,-0.07000000000000028,-1.3436,63722.46,32869.838
000030.SZ,20230823,5.3,5.3,5.17,5.21,5.26,-0.04999999999999982,-0.9506,74880.26,39231.208
000030.SZ,20230822,5.2,5.28,5.17,5.26,5.15,0.10999999999999943,2.1359,74276.52,38847.531
000030.SZ,20230821,5.16,5.3,5.15,5.15,5.22,-0.0699999999999994,-1.341,46596.58,24317.663
000030.SZ,20230818,5.3,5.32,5.22,5.22,5.28,-0.0600000000000005,-1.1364,46613.84,24540.715
000030.SZ,20230817,5.17,5.32,5.12,5.28,5.2,0.08000000000000007,1.5385,62450.12,32708.425
000030.SZ,20230816,5.21,5.29,5.19,5.2,5.24,-0.040000000000000036,-0.7634,52877.0,27604.708
000030.SZ,20230815,5.23,5.33,5.19,5.24,5.23,0.009999999999999787,0.1912,60506.03,31790.472
000030.SZ,20230814,5.22,5.24,5.11,5.23,5.19,0.040000000000000036,0.7707,68697.75,35556.937
000030.SZ,20230811,5.32,5.36,5.19,5.19,5.27,-0.07999999999999918,-1.518,59167.66,31126.362
000030.SZ,20230810,5.33,5.35,5.25,5.27,5.33,-0.0600000000000005,-1.1257,65039.4,34366.139
000030.SZ,20230809,5.47,5.48,5.3,5.33,5.46,-0.1299999999999999,-2.381,82977.15,44370.761
000030.SZ,20230808,5.47,5.51,5.43,5.46,5.48,-0.020000000000000462,-0.365,58317.01,31855.014
000030.SZ,20230807,5.46,5.53,5.35,5.48,5.46,0.020000000000000462,0.3663,74953.0,40949.543
000030.SZ,20230804,5.48,5.52,5.42,5.46,5.48,-0.020000000000000462,-0.365,70015.47,38271.074
000030.SZ,20230803,5.55,5.56,5.46,5.48,5.55,-0.0699999999999994,-1.2613,59459.95,32652.762
000030.SZ,20230802,5.46,5.57,5.45,5.55,5.48,0.0699999999999994,1.2774,85530.52,47193.122
000030.SZ,20230801,5.54,5.56,5.46,5.48,5.56,-0.07999999999999918,-1.4388,76891.11,42243.825
000030.SZ,20230731,5.46,5.58,5.44,5.56,5.44,0.11999999999999922,2.2059,99979.29,55205.075
000030.SZ,20230728,5.37,5.48,5.31,5.44,5.4,0.040000000000000036,0.7407,83158.91,45030.936
000030.SZ,20230727,5.34,5.48,5.34,5.4,5.35,0.05000000000000071,0.9346,99597.13,54039.12
000030.SZ,20230726,5.45,5.46,5.31,5.35,5.46,-0.11000000000000032,-2.0147,71858.55,38472.922
000030.SZ,20230725,5.38,5.47,5.36,5.46,5.37,0.08999999999999986,1.676,84913.38,46033.31
000030.SZ,20230724,5.32,5.41,5.31,5.37,5.33,0.040000000000000036,0.7505,56368.33,30260.638
000030.SZ,20230721,5.38,5.42,5.31,5.33,5.39,-0.05999999999999961,-1.1132,71549.87,38278.838
000030.SZ,20230720,5.44,5.49,5.38,5.39,5.44,-0.05000000000000071,-0.9191,86211.48,46892.386
000030.SZ,20230719,5.42,5.49,5.4,5.44,5.43,0.010000000000000675,0.1842,61986.0,33726.128
000030.SZ,20230718,5.37,5.49,5.3,5.43,5.38,0.04999999999999982,0.9294,84846.59,45861.092
000030.SZ,20230717,5.35,5.39,5.27,5.38,5.37,0.009999999999999787,0.1862,109887.61,58610.622
000030.SZ,20230714,5.4,5.47,5.29,5.37,5.4,-0.03000000000000025,-0.5556,110892.2,59785.721
000030.SZ,20230713,5.46,5.48,5.32,5.4,5.45,-0.04999999999999982,-0.9174,152979.47,82322.495
000030.SZ,20230712,5.4,5.63,5.36,5.45,5.36,0.08999999999999986,1.6791,246183.45,135646.122
000030.SZ,20230711,5.22,5.37,5.2,5.36,5.25,0.11000000000000032,2.0952,104982.63,55742.358
000030.SZ,20230710,5.22,5.3,5.2,5.25,5.23,0.019999999999999574,0.3824,84165.64,44207.844
000030.SZ,20230707,5.23,5.29,5.2,5.23,5.23,0.0,0.0,75701.51,39672.374
000030.SZ,20230706,5.22,5.26,5.15,5.23,5.22,0.010000000000000675,0.1916,67102.0,34910.538
000030.SZ,20230705,5.25,5.29,5.16,5.22,5.23,-0.010000000000000675,-0.1912,99287.59,52018.636
000030.SZ,20230704,5.14,5.25,5.1,5.23,5.11,0.1200000000000001,2.3483,118197.89,61418.353
000030.SZ,20230703,5.04,5.19,5.04,5.11,5.04,0.07000000000000028,1.3889,122038.72,62783.691
000030.SZ,20230630,5.03,5.1,4.99,5.04,5.03,0.009999999999999787,0.1988,70832.58,35746.582
000030.SZ,20230629,5.04,5.08,4.97,5.03,5.03,0.0,0.0,71090.6,35708.455
000030.SZ,20230628,4.95,5.08,4.9,5.03,4.91,0.1200000000000001,2.444,119826.8,59945.227
